user_id,state,district,category_selected,scheme_shown,applied,approved,income_band,age_group,timestamp
USR000008,Sikkim,North Sikkim,Disability Support (Divyang Schemes),Samarth Scheme,No,No,Low,18-25,2025-10-07 06:19:46
USR000009,Nagaland,Zunheboto,SC/ST/OBC Welfare,National Fellowship OBC,Yes,No,High,18-25,2025-12-17 09:25:03
USR000010,Jharkhand,Ranchi,Education & Scholarships,Mid Day Meal Scheme,Yes,Yes,Low,60+,2025-07-06 01:43:53
USR000011,Tamil Nadu,Coimbatore,Health & Public Health,eSanjeevani Telemedicine,Yes,Yes,High,18-25,2025-12-16 22:17:35
USR000012,Telangana,Nalgonda,Health & Public Health,Janani Suraksha Yojana,No,No,High,60+,2026-02-27 06:03:44
USR000013,Himachal Pradesh,Kinnaur,Women Empowerment & Child Welfare,Pradhan Mantri Matru Vandana Yojana,Yes,Yes,High,41-60,2025-05-19 09:58:37
USR000014,Telangana,Rangareddy,Education & Scholarships,Vidya Lakshmi Scheme,Yes,Yes,Low,60+,2025-05-28 03:49:40
USR000015,Odisha,Bargarh,Health & Public Health,TB Elimination Programme,No,No,Low,18-25,2025-04-17 03:09:21
USR000016,Jharkhand,Dumka,Women Empowerment & Child Welfare,STEP Scheme,Yes,No,High,18-25,2025-11-12 20:31:00
USR000017,Kerala,Ernakulathappan,Senior Citizen Welfare,Integrated Programme for Older Persons,Yes,Yes,Low,18-25,2025-11-22 17:39:56
USR000018,Mizoram,Saiha,Education & Scholarships,SHREYAS Scheme,Yes,Yes,High,18-25,2025-06-23 04:17:04
USR000019,Telangana,Karimnagar,Women Empowerment & Child Welfare,Mahila Shakti Kendra,Yes,Yes,Middle,60+,2025-08-29 03:34:30
USR000020,Gujarat,Bharuch,Education & Scholarships,Post Matric Scholarship SC,Yes,Yes,High,26-40,2025-11-22 03:59:19
USR000021,Uttarakhand,Almora,Disability Support (Divyang Schemes),Vidyasagar Scheme,Yes,Yes,High,18-25,2025-09-16 00:59:59
USR000022,Jharkhand,Godda,Women Empowerment & Child Welfare,Anganwadi Services ICDS,Yes,Yes,Low,18-25,2025-11-05 12:58:50
USR000023,Maharashtra,Nashik,Women Empowerment & Child Welfare,Beti Bachao Beti Padhao,No,No,High,60+,2025-11-05 09:01:09
USR000024,Chhattisgarh,Raipur,SC/ST/OBC Welfare,Venture Capital Fund SC,Yes,Yes,High,41-60,2025-12-28 05:31:52
USR000025,Gujarat,Bharuch,Agriculture & Allied Activities,PM Kisan Maan Dhan Yojana,No,No,High,26-40,2025-06-04 15:06:56
USR000026,Telangana,Warangal,SC/ST/OBC Welfare,Top Class Education SC,Yes,Yes,High,26-40,2025-10-07 09:52:46
USR000027,Madhya Pradesh,Ujjain,Women Empowerment & Child Welfare,STEP Scheme,Yes,Yes,High,41-60,2025-04-09 21:47:52
USR000028,Telangana,Medchal,Health & Public Health,National Digital Health Mission,Yes,No,High,18-25,2025-09-11 05:37:10
USR000029,Rajasthan,Udaipur,Women Empowerment & Child Welfare,Ujjawala Scheme,Yes,Yes,Low,18-25,2025-06-12 19:27:06
USR000030,Tripura,Dhalai,SC/ST/OBC Welfare,Credit Enhancement Scheme SC,No,No,Low,18-25,2025-04-03 08:56:46
USR000031,Chhattisgarh,Bastar,Education & Scholarships,SHREYAS Scheme,Yes,No,Middle,41-60,2026-01-25 15:48:04
USR000032,Mizoram,Mamit,SC/ST/OBC Welfare,National Fellowship OBC,No,No,High,60+,2025-12-09 09:01:48
USR000033,Uttarakhand,Bageshwar,Women Empowerment & Child Welfare,Beti Bachao Beti Padhao,Yes,Yes,Low,41-60,2025-11-30 15:11:25
USR000034,Telangana,Karimnagar,Health & Public Health,eSanjeevani Telemedicine,No,No,High,26-40,2026-02-04 13:50:59
USR000035,Nagaland,Kohima,SC/ST/OBC Welfare,Pre Matric Scholarship SC,Yes,Yes,Middle,41-60,2025-04-04 11:15:09
USR000036,Assam,Sonitpur,Health & Public Health,Janani Suraksha Yojana,No,No,Middle,41-60,2025-05-22 18:22:12
USR000037,Sikkim,West Sikkim,Disability Support (Divyang Schemes),Unique Disability ID UDID,No,No,Middle,60+,2025-12-14 17:29:02
USR000038,Manipur,Imphal East,Agriculture & Allied Activities,Pradhan Mantri Fasal Bima Yojana,No,No,Middle,26-40,2025-08-23 18:36:59
USR000039,Madhya Pradesh,Indore,Disability Support (Divyang Schemes),ADIP Scheme,Yes,Yes,Low,41-60,2025-07-06 06:26:06
USR000040,Nagaland,Tuensang,SC/ST/OBC Welfare,PM DAKSH Scheme,Yes,Yes,High,60+,2026-01-18 05:13:24
USR000041,Chhattisgarh,Rajnandgaon,Health & Public Health,National Health Mission,No,No,Middle,60+,2025-10-07 14:07:34
USR000042,Nagaland,Zunheboto,Education & Scholarships,Post Matric Scholarship SC,No,No,Middle,60+,2025-08-06 22:43:35
USR000043,Maharashtra,Aurangabad,Senior Citizen Welfare,Annapurna Scheme,Yes,No,High,41-60,2026-02-17 20:06:24
USR000044,Mizoram,Champhai,Disability Support (Divyang Schemes),Sahyogi Scheme,Yes,Yes,Middle,41-60,2025-12-13 20:20:32
USR000045,Odisha,Sambalpur,Education & Scholarships,Mid Day Meal Scheme,Yes,Yes,Low,26-40,2025-03-16 07:53:26
USR000046,Jharkhand,Deoghar,Education & Scholarships,Central Sector Scholarship Scheme,No,No,High,60+,2025-03-02 12:36:39
USR000047,Bihar,East Champaran,Women Empowerment & Child Welfare,Working Women Hostel Scheme,No,No,High,41-60,2025-12-15 15:31:44
USR000048,Himachal Pradesh,Kinnaur,SC/ST/OBC Welfare,Top Class Education SC,No,No,High,18-25,2025-05-06 12:52:22
USR000049,Bihar,Patna,Agriculture & Allied Activities,Kisan Credit Card,Yes,Yes,High,41-60,2025-04-23 00:04:06
USR000050,Telangana,Warangal,Senior Citizen Welfare,Senior Citizen Savings Scheme,Yes,Yes,High,18-25,2026-02-21 09:59:27
USR000051,Kerala,Ernakulathappan,Education & Scholarships,National Overseas Scholarship,No,No,Low,26-40,2025-07-12 23:46:26
USR000052,Chhattisgarh,Durg,Women Empowerment & Child Welfare,STEP Scheme,Yes,No,Low,26-40,2025-12-10 01:36:17
USR000053,Nagaland,Wokha,Disability Support (Divyang Schemes),Gharaunda Scheme,Yes,Yes,Middle,60+,2025-05-21 04:50:49
USR000054,Punjab,Patiala,Agriculture & Allied Activities,PM-KISAN,Yes,Yes,Middle,26-40,2025-03-21 01:57:36
USR000055,Uttarakhand,Nainital,Disability Support (Divyang Schemes),Gharaunda Scheme,No,No,High,18-25,2025-03-01 23:16:25
USR000056,Punjab,Patiala,Disability Support (Divyang Schemes),Accessible India Campaign,No,No,High,60+,2025-03-29 07:21:22
USR000057,Tripura,West Tripura,Education & Scholarships,Vidya Lakshmi Scheme,No,No,Middle,60+,2025-07-20 22:39:00
USR000058,Chhattisgarh,Rajnandgaon,SC/ST/OBC Welfare,Post Matric Scholarship OBC,Yes,Yes,High,18-25,2025-08-19 08:08:44
USR000059,Meghalaya,Jaintia Hills,Education & Scholarships,Central Sector Scholarship Scheme,Yes,No,High,18-25,2025-10-18 21:13:47
USR000060,Uttarakhand,Pithoragarh,Health & Public Health,National Digital Health Mission,Yes,Yes,Middle,26-40,2025-11-05 18:01:36
USR000061,Gujarat,Junagadh,Agriculture & Allied Activities,Agriculture Infrastructure Fund,Yes,Yes,High,18-25,2025-07-17 13:39:46
