scheme_name,domain,ministry,description,target_beneficiaries,eligibility_criteria,age_limit,income_limit,required_documents,benefits,application_mode,official_apply_link,state_applicability,timeline
PM-KISAN,Agriculture & Allied Activities,,,,,,,,,,https://pmkisan.gov.in,Pan India,
Pradhan Mantri Fasal Bima Yojana,Agriculture & Allied Activities,,,,,,,,,,https://pmfby.gov.in,Pan India,
Kisan Credit Card,Agriculture & Allied Activities,,,,,,,,,,https://www.myscheme.gov.in,Pan India,
PM Krishi Sinchai Yojana,Agriculture & Allied Activities,,,,,,,,,,https://pmksy.gov.in,Pan India,
Soil Health Card Scheme,Agriculture & Allied Activities,,,,,,,,,,https://soilhealth.dac.gov.in,Pan India,
Paramparagat Krishi Vikas Yojana,Agriculture & Allied Activities,,,,,,,,,,https://pgsindia-ncof.gov.in,Pan India,
Agriculture Infrastructure Fund,Agriculture & Allied Activities,,,,,,,,,,https://agriinfra.dac.gov.in,Pan India,
National Horticulture Mission,Agriculture & Allied Activities,,,,,,,,,,https://nhm.gov.in,Pan India,
PM Kisan Maan Dhan Yojana,Agriculture & Allied Activities,,,,,,,,,,https://maandhan.in,Pan India,
e-NAM,Agriculture & Allied Activities,,,,,,,,,,https://enam.gov.in,Pan India,
Ayushman Bharat PM-JAY,Health & Public Health,,,,,,,,,,https://pmjay.gov.in,Pan India,
National Health Mission,Health & Public Health,,,,,,,,,,https://nhm.gov.in,Pan India,
Janani Suraksha Yojana,Health & Public Health,,,,,,,,,,https://nhm.gov.in,Pan India,
Pradhan Mantri Jan Aushadhi Yojana,Health & Public Health,,,,,,,,,,https://janaushadhi.gov.in,Pan India,
National Digital Health Mission,Health & Public Health,,,,,,,,,,https://abdm.gov.in,Pan India,
Mission Indradhanush,Health & Public Health,,,,,,,,,,https://nhm.gov.in,Pan India,
TB Elimination Programme,Health & Public Health,,,,,,,,,,https://tbcindia.gov.in,Pan India,
eSanjeevani Telemedicine,Health & Public Health,,,,,,,,,,https://esanjeevani.in,Pan India,
Rashtriya Swasthya Bima Yojana,Health & Public Health,,,,,,,,,,https://www.myscheme.gov.in,Pan India,
Pradhan Mantri Surakshit Matritva Abhiyan,Health & Public Health,,,,,,,,,,https://nhm.gov.in,Pan India,
National Means Cum Merit Scholarship,Education & Scholarships,,,,,,,,,,https://scholarships.gov.in,Pan India,
Central Sector Scholarship Scheme,Education & Scholarships,,,,,,,,,,https://scholarships.gov.in,Pan India,
Post Matric Scholarship SC,Education & Scholarships,,,,,,,,,,https://scholarships.gov.in,Pan India,
Pre Matric Scholarship OBC,Education & Scholarships,,,,,,,,,,https://scholarships.gov.in,Pan India,
National Overseas Scholarship,Education & Scholarships,,,,,,,,,,https://nosmsje.gov.in,Pan India,
Vidya Lakshmi Scheme,Education & Scholarships,,,,,,,,,,https://vidyalakshmi.co.in,Pan India,
Mid Day Meal Scheme,Education & Scholarships,,,,,,,,,,https://pmposhan.education.gov.in,Pan India,
Top Class Education Scheme,Education & Scholarships,,,,,,,,,,https://scholarships.gov.in,Pan India,
SHREYAS Scheme,Education & Scholarships,,,,,,,,,,https://socialjustice.gov.in,Pan India,
PM Research Fellowship,Education & Scholarships,,,,,,,,,,https://pmrf.in,Pan India,
Beti Bachao Beti Padhao,Women Empowerment & Child Welfare,,,,,,,,,,https://wcd.nic.in,Pan India,
Pradhan Mantri Matru Vandana Yojana,Women Empowerment & Child Welfare,,,,,,,,,,https://pmmvy.wcd.gov.in,Pan India,
Anganwadi Services ICDS,Women Empowerment & Child Welfare,,,,,,,,,,https://icds-wcd.nic.in,Pan India,
